N,n,seed,edge_source,resolution,t,P0,d_s
4,0.4,56792,all,1.0,25,0.0,0.26021230715510635
4,0.4,56792,all,1.0,26,0.19105,-0.0
4,0.4,56792,all,1.0,27,0.0,1.1691665867696386
4,0.4,56792,all,1.0,28,0.18295,-0.0
4,0.4,56792,all,1.0,29,0.0,0.5922760292518089
4,0.4,56792,all,1.0,30,0.17925,-0.0
4,0.4,56792,all,1.0,31,0.0,0.9300980980894006
4,0.4,56792,all,1.0,32,0.17395,-0.0
4,0.4,56792,all,1.0,33,0.0,0.018970613815024358
4,0.4,56792,all,1.0,34,0.17385,-0.0
4,0.4,56792,all,1.0,35,0.0,1.56408045342453
4,0.4,56792,all,1.0,36,0.16625,-0.0
4,0.4,56792,all,1.0,37,0.0,-0.6068754784011543
4,0.4,56792,all,1.0,38,0.169,-0.0
4,0.4,56792,all,1.0,39,0.0,1.2423936082264122
4,0.4,56792,all,1.0,40,0.1637,-0.0
4,0.4,56792,all,1.0,41,0.0,0.8603547505475092
4,0.4,56792,all,1.0,42,0.1603,-0.0
4,0.4,56792,all,1.0,43,0.0,0.8122202580303892
4,0.4,56792,all,1.0,44,0.1573,-0.0
4,0.4,56792,all,1.0,45,0.0,1.1295804566160839
4,0.4,56792,all,1.0,46,0.1534,-0.0
4,0.4,56792,all,1.0,47,0.0,0.4772457448257769
4,0.4,56792,all,1.0,48,0.15185,-0.0
4,0.4,56792,all,1.0,49,0.0,1.9079990145353989
4,0.4,56792,all,1.0,50,0.14605,-0.0
4,0.4,56792,all,1.0,51,0.0,0.28008838494411586
4,0.4,56792,all,1.0,52,0.14525,-0.0
4,0.4,56792,all,1.0,53,0.0,1.8185900737124563
4,0.4,56792,all,1.0,54,0.14035,-0.0
4,0.4,56792,all,1.0,55,0.0,-1.0094476218577417
4,0.4,56792,all,1.0,56,0.14295,-0.0
4,0.4,56792,all,1.0,57,0.0,-0.25856752440221764
4,0.4,56792,all,1.0,58,0.1436,-0.0
4,0.4,56792,all,1.0,59,0.0,0.020544785110863738
4,0.4,56792,all,1.0,60,0.14355,-0.0
4,0.4,56792,all,1.0,61,0.0,3.1834251319664957
4,0.4,56792,all,1.0,62,0.13625,-0.0
4,0.4,56792,all,1.0,63,0.0,-1.2134554951563719
4,0.4,56792,all,1.0,64,0.1389,-0.0
4,0.4,56792,all,1.0,65,0.0,3.09044335615176
4,0.4,56792,all,1.0,66,0.13245,-0.0
4,0.4,56792,all,1.0,67,0.0,-1.0040656213354457
4,0.4,56792,all,1.0,68,0.13445,-0.0
4,0.4,56792,all,1.0,69,0.0,1.3211417772631249
4,0.4,56792,all,1.0,70,0.1319,-0.0
4,0.4,56792,all,1.0,71,0.0,0.4860861470668266
4,0.4,56792,all,1.0,72,0.131,-0.0
4,0.4,56792,all,1.0,73,0.0,0.7843023033787896
4,0.4,56792,all,1.0,74,0.1296,-0.0
4,0.4,56792,all,1.0,75,0.0,-0.23111129336053587
4,0.4,56792,all,1.0,76,0.13,-0.0
4,0.4,56792,all,1.0,77,0.0,1.1336258597294684
4,0.4,56792,all,1.0,78,0.1281,-0.0
4,0.4,56792,all,1.0,79,0.0,1.619844051552505
4,0.4,56792,all,1.0,80,0.1255,-0.0
4,0.4,56792,all,1.0,81,0.0,2.8906708743089915
4,0.4,56792,all,1.0,82,0.1211,-0.0
4,0.4,56792,all,1.0,83,0.0,-0.47836434318569704
4,0.4,56792,all,1.0,84,0.1218,-0.0
4,0.4,56792,all,1.0,85,0.0,0.6655403827470991
4,0.4,56792,all,1.0,86,0.12085,-0.0
4,0.4,56792,all,1.0,87,0.0,0.5053733540855536
4,0.4,56792,all,1.0,88,0.12015,-0.0
4,0.4,56792,all,1.0,89,0.0,1.7579155132775743
4,0.4,56792,all,1.0,90,0.1178,-0.0
4,0.4,56792,all,1.0,91,0.0,-0.26996178230252427
4,0.4,56792,all,1.0,92,0.11815,-0.0
4,0.4,56792,all,1.0,93,0.0,1.4676642342196815
4,0.4,56792,all,1.0,94,0.1163,-0.0
4,0.4,56792,all,1.0,95,0.0,1.4817777381090833
4,0.4,56792,all,1.0,96,0.1145,-0.0
4,0.4,56792,all,1.0,97,0.0,-0.92739706760706
