N,n,seed,edge_source,resolution,mode,t,P0,d_s
8,0.8,56793,core,1.0,exact,79,0.0,0.6588573906904437
8,0.8,56793,core,1.0,exact,80,0.1285402722340641,-0.0
8,0.8,56793,core,1.0,exact,81,0.0,0.656159593607727
8,0.8,56793,core,1.0,exact,82,0.12750315514319727,-0.0
8,0.8,56793,core,1.0,exact,83,0.0,0.6535021206350483
8,0.8,56793,core,1.0,exact,84,0.12650315011899177,-0.0
8,0.8,56793,core,1.0,exact,85,1.0341287858721368e-17,0.6508812691865962
8,0.8,56793,core,1.0,exact,86,0.1255381165481901,-0.0
8,0.8,56793,core,1.0,exact,87,3.4704874627130674e-17,0.6482932878942875
8,0.8,56793,core,1.0,exact,88,0.12460608666461115,-0.0
8,0.8,56793,core,1.0,exact,89,5.8578179084569e-17,0.6457343833208208
8,0.8,56793,core,1.0,exact,90,0.12370524839803383,-0.0
8,0.8,56793,core,1.0,exact,91,8.517234245648483e-17,0.6432007294467472
8,0.8,56793,core,1.0,exact,92,0.12283393025075764,-0.0
8,0.8,56793,core,1.0,exact,93,1.1683015399817467e-16,0.6406884794273565
8,0.8,56793,core,1.0,exact,94,0.1219905879200431,-0.0
8,0.8,56793,core,1.0,exact,95,1.4049777908491738e-16,0.6381937791152178
8,0.8,56793,core,1.0,exact,96,0.12117379242925524,-0.0
8,0.8,56793,core,1.0,exact,97,1.689231965694718e-16,0.6357127818647126
8,0.8,56793,core,1.0,exact,98,0.12038221956736639,-0.0
8,0.8,56793,core,1.0,exact,99,1.8423338133522296e-16,0.6332416641601595
8,0.8,56793,core,1.0,exact,100,0.119614640466995,-0.0
8,0.8,56793,core,1.0,exact,101,1.8472479936616276e-16,0.6307766416494546
8,0.8,56793,core,1.0,exact,102,0.11886991317652855,-0.0
8,0.8,56793,core,1.0,exact,103,2.1486265957136683e-16,0.6283139852098263
8,0.8,56793,core,1.0,exact,104,0.11814697510304173,-0.0
8,0.8,56793,core,1.0,exact,105,2.3893013159712256e-16,0.6258500367191807
8,0.8,56793,core,1.0,exact,106,0.1174448362204318,-0.0
8,0.8,56793,core,1.0,exact,107,2.686567445355844e-16,0.6233812242528217
8,0.8,56793,core,1.0,exact,108,0.11676257295205733,-0.0
8,0.8,56793,core,1.0,exact,109,2.8375145052120465e-16,0.6209040764791004
8,0.8,56793,core,1.0,exact,110,0.11609932264968088,-0.0
8,0.8,56793,core,1.0,exact,111,3.1401878266434782e-16,0.6184152360651226
8,0.8,56793,core,1.0,exact,112,0.11545427860108713,-0.0
8,0.8,56793,core,1.0,exact,113,3.36645054990397e-16,0.6159114719551932
8,0.8,56793,core,1.0,exact,114,0.11482668550769722,-0.0
8,0.8,56793,core,1.0,exact,115,3.587825010094988e-16,0.6133896904166408
8,0.8,56793,core,1.0,exact,116,0.11421583538110629,-0.0
8,0.8,56793,core,1.0,exact,117,3.9282187799440186e-16,0.6108469447878143
8,0.8,56793,core,1.0,exact,118,0.11362106381394985,-0.0
8,0.8,56793,core,1.0,exact,119,4.1346603898272936e-16,0.6082804438911726
8,0.8,56793,core,1.0,exact,120,0.11304174658604217,-0.0
8,0.8,56793,core,1.0,exact,121,4.389824091720964e-16,0.6056875591040667
8,0.8,56793,core,1.0,exact,122,0.11247729657147525,-0.0
8,0.8,56793,core,1.0,exact,123,4.5744271822051005e-16,0.6030658300996452
8,0.8,56793,core,1.0,exact,124,0.11192716091644907,-0.0
8,0.8,56793,core,1.0,exact,125,4.925816134096003e-16,0.600412969290489
8,0.8,56793,core,1.0,exact,126,0.11139081846112238,-0.0
8,0.8,56793,core,1.0,exact,127,5.103910676544265e-16,0.5977268650261169
8,0.8,56793,core,1.0,exact,128,0.11086777738181544,-0.0
8,0.8,56793,core,1.0,exact,129,5.332458977913923e-16,0.5950055835998878
8,0.8,56793,core,1.0,exact,130,0.11035757303254068,-0.0
8,0.8,56793,core,1.0,exact,131,5.67120363364457e-16,0.5922473701407304
8,0.8,56793,core,1.0,exact,132,0.10985976596713169,-0.0
8,0.8,56793,core,1.0,exact,133,5.874452947250815e-16,0.5894506484617292
8,0.8,56793,core,1.0,exact,134,0.10937394012524991,-0.0
8,0.8,56793,core,1.0,exact,135,6.1189431095191e-16,0.586614019947736
8,0.8,56793,core,1.0,exact,136,0.10889970116730335,-0.0
8,0.8,56793,core,1.0,exact,137,6.364429530832524e-16,0.5837362615665368
8,0.8,56793,core,1.0,exact,138,0.10843667494485427,-0.0
8,0.8,56793,core,1.0,exact,139,6.617327049155721e-16,0.5808163230858345
8,0.8,56793,core,1.0,exact,140,0.10798450609445094,-0.0
8,0.8,56793,core,1.0,exact,141,6.884550449999849e-16,0.5778533235802126
8,0.8,56793,core,1.0,exact,142,0.10754285674401715,-0.0
8,0.8,56793,core,1.0,exact,143,7.079830848749477e-16,0.5748465473116376
